0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:34:05 +0900] "GET /Cinema/myreserve/detail?id=1&page=0&_=1663439644930 HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:16 +0900] "GET /Cinema/myservice/list?id=1&page=1&_=1663439577304 HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:17 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663439577305 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:21 +0900] "GET /Cinema/myservice/list?id=1&page=1&_=1663439577306 HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:21 +0900] "GET /Cinema/myservice/list?id=1&page=2&_=1663439577307 HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:22 +0900] "GET /Cinema/myservice/list?id=1&page=1&_=1663439577308 HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:24 +0900] "GET /Cinema/myservice/list?id=1&page=2&_=1663439577309 HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:24 +0900] "GET /Cinema/service/detail?id=1 HTTP/1.1" 200 10271
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:24 +0900] "GET /Cinema/js/detail.js HTTP/1.1" 200 5057
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:25 +0900] "GET /Cinema/comment/list?id=1&_=1663439725016 HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:28 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:28 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 200 232311
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:28 +0900] "GET /Cinema/js/scripts.js HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:29 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663439729388 HTTP/1.1" 200 7679
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:47 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663439729389 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:48 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:48 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 200 232311
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:48 +0900] "GET /Cinema/js/scripts.js HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:48 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663439748883 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:35:48 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663439748882 HTTP/1.1" 200 7679
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:39 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:39 +0900] "GET /Cinema/user/login HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:40 +0900] "GET /Cinema/js/kakaoLogin.js HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:40 +0900] "GET /Cinema/js/googleLogin.js HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:40 +0900] "GET /Cinema/js/naverLogin.js HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:41 +0900] "POST /Cinema/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:42 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:42 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 200 232311
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:42 +0900] "GET /Cinema/js/scripts.js HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:42 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663439802529 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:42 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663439802528 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:51 +0900] "GET /Cinema/myreserve/list?id=1&page=1&_=1663439802530 HTTP/1.1" 200 4505
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:51 +0900] "GET /Cinema/myreserve/list?id=1&page=2&_=1663439802531 HTTP/1.1" 200 4270
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:52 +0900] "GET /Cinema/myreserve/list?id=1&page=3&_=1663439802532 HTTP/1.1" 200 4270
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:52 +0900] "GET /Cinema/myreserve/list?id=1&page=4&_=1663439802533 HTTP/1.1" 200 4347
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:36:53 +0900] "GET /Cinema/myreserve/list?id=1&page=5&_=1663439802534 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:38:49 +0900] "GET /Cinema/myreserve/list?id=1&page=4&_=1663439802535 HTTP/1.1" 200 4347
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:38:50 +0900] "GET /Cinema/myreserve/list?id=1&page=3&_=1663439802536 HTTP/1.1" 200 4270
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:38:50 +0900] "GET /Cinema/myreserve/list?id=1&page=2&_=1663439802537 HTTP/1.1" 200 4270
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:38:51 +0900] "GET /Cinema/myreserve/list?id=1&page=1&_=1663439802538 HTTP/1.1" 200 4505
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:16 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:17 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663439957058 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:17 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663439957059 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:17 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:17 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663439957807 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:17 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663439957808 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:19 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:19 +0900] "GET /Cinema/user/login HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:19 +0900] "GET /Cinema/user/login HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:20 +0900] "POST /Cinema/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:20 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:21 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663439960731 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:39:21 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663439960730 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:08 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:08 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 200 232311
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:08 +0900] "GET /Cinema/js/scripts.js HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:08 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440188874 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:08 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440188875 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:10 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:10 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:11 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440191000 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:11 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440191001 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:12 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:13 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:13 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:13 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440193606 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:43:13 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440193607 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:11 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:11 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:12 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440251986 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:12 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440251987 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:12 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:12 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440252765 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:12 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440252766 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:13 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:13 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440253404 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:13 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440253405 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:14 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:21 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16240
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:21 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:21 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440261537 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:21 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440261538 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:26 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11155
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:28 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11155
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:40 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11155
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:42 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16240
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:42 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:42 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440282238 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:42 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440282239 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:45 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16240
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:45 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440285214 HTTP/1.1" 200 4621
